officename,pincode
Kalkere PDC,577180
Hemmakki PDC,577121
Balur PDC,577122
Megur PDC,577122
Niduvale PDC,577122
Hiremagalur PDC,577102
Kuruvangi PDC,577102
Patnagere PDC,577548
Y  Mallapura PDC,577548
Kurubarabudihal PDC,577146
Bisagnimutt PDC,577131
Kesavinamane PDC,577131
Baskal PDC,577132
Billurkadidal PDC,577132
Devarinda PDC,577132
Gowdahalli PDC,577132
Halase PDC,577132
Urubage PDC,577132
Kuduvalli PDC,577133
Honnenahalli PDC,577182
Niduvalli PDC,577182
Annigere(Yagati) PDC,577138
Cheeranahalli PDC,577549
Begur PDC,577550
Hulikere PDC,577168
Lakkammanahalli PDC,577168
Lakya PDC,577168
Addada PDC,577126
Hirekodige PDC,577126
Hosakoppa PDC,577126
Guddethota PDC,577123
Kalkere PDC,577123
Marasanige PDC,577124
Jamble PDC,577124
Kattinamane PDC,577127
Seethur PDC,577127
Gubbiga (Sutta) PDC,577134
Honnekodige PDC,577134
Muthinakoppa PDC,577134
Duglapura PDC,577144
Karakuchi PDC,577144
Kerekatte PDC,577139
Rushyashringapura PDC,577139
Amruthapura PDC,577228
Belenahalli PDC,577228
K  Chattnahalli PDC,577228
Nerlekere PDC,577228
Kodihally PDC,577511
Hulithotlu PDC,577558
Suragondanahally PDC,577558
Kabbala PDC,577597
Thandaga PDC,577597
Hireguntanur PDC,577520
Kalaghatta PDC,577518
Taralabalu Circle PDC,577518
Balenahalli PDC,577522
Nagaramgere PDC,577522
Sanikere PDC,577522
Kodagavalli PDC,577523
Dyamavvanahally PDC,577524
Ingaladahal PDC,577524
Abbinahole PDC,577546
Beeranahally PDC,577599
Vanivilasapura PDC,577599
Peelali PDC,577598
Yelladakere PDC,577598
Beesanahally PDC,577526
Aralahalli PDC,577527
Madderu PDC,577527
Talya PDC,577527
Annivala PDC,577554
Arabhaghatta PDC,577554
Janthikolalu PDC,577554
Sondekere PDC,577532
Nagathihally PDC,577533
Chikkerahally PDC,577535
Nelagathanahatti PDC,577536
Nerlagunte PDC,577536
Doddaullarthi PDC,577537
Donehalli PDC,577537
Katammadevarakote PDC,577537
Korlakunte PDC,577538
Gowdihalli PDC,577539
R  Nulenur PDC,577539
Talikatte PDC,577539
Jagirbuddenahally PDC,577540
Thammenahally PDC,577540
Basavasivanakere PDC,577541
Doddiganahal PDC,577541
S  Nerlakere PDC,577542
Vengalapura PDC,577542
Kodihally PDC,577543
Thimmappaiahnahally PDC,577543
Valase PDC,577543
Mallappanahally PDC,577545
Sidlaiahnakote PDC,577545
Kanajanahalli PDC,577596
Hebbal PDC,577556
Mandalur PDC,577556
Kandagal PDC,577514
Malalkere PDC,577514
Siramagondanahalli PDC,577005
Bannikodu PDC,577516
CHIKKABUDIHAL PDC,577006
Mathi PDC,577525
Amaravathi PDC,577601
Belludi PDC,577601
Donehalli PDC,577528
Gadimakunte PDC,577528
Kenchanahalli PDC,577528
Bethur PDC,577002
Avaragolla PDC,577589
Kenchenahalli PDC,577589
Guddadabevinahalli PDC,577530
Kumbalur PDC,577530
Anaberu PDC,577534
Amaragiri Tirupathi PDC,573103
Kallanagere PDC,573103
Kembalu PDC,573111
Obalapura PDC,573111
Basavanahalli PDC,573112
Nagasamudra PDC,573112
Iravalli PDC,573115
Tolalu PDC,573115
Janivara PDC,573116
Srinivaspura PDC,573116
Madalu PDC,573117
Attavara PDC,573118
Heggatta PDC,573119
Gonisomanahalli PDC,573121
Hebbalu PDC,573121
Doddenahalli PDC,573122
Murundi PDC,573122
Honnenahalli PDC,573124
Jinnenahalli PDC,573124
Bandur PDC,573125
Sathangere PDC,573144
Atthihalli PDC,573131
Baddikere PDC,573131
Jambur PDC,573131
Santheshivara PDC,573131
Dadighatta PDC,573135
Kothanghatta PDC,573135
Dandiganahalli PDC,573225
Kanive Byadarahalli PDC,573225
Bychanahalli PDC,573102
Hebbale PDC,573102
Kattimallenahalli PDC,573102
Malalikere PDC,573102
Mallipatna PDC,573102
Jammanahalli PDC,573214
Mugali PDC,573214
Ankihalli PDC,573215
Paduvalalu PDC,573215
Venkatipete PDC,573215
Halasulige PDC,573127
Heggadihalli PDC,573142
Hulikallu PDC,573142
Koratikere PDC,573142
Ankanayakanahalli PDC,573120
Malladevarapura PDC,573120
Andale PDC,573216
Doddagaddavalli PDC,573216
Ibbeedu PDC,573216
Devaladakere PDC,573165
Kyamanahalli PDC,573165
Hongadahalla PDC,573123
Vanagur PDC,573123
Bagivalu PDC,573211
Beechanahalli PDC,573211
Singapur PDC,573211
Jodihandankere PDC,573217
Kunduru PDC,573128
Bidarakka PDC,573136
Bellame PDC,573130
Kabbaligere PDC,573130
Kadavina Hosahalli PDC,573130
Singapur PDC,573218
Singodanahalli PDC,573218
Doddahalli PDC,573133
Rudrapatna PDC,573133
Kadamane PDC,573134
Kyanahalli PDC,573134
Yelagunda PDC,573219
Gadenahalli PDC,573226
Hongere PDC,573220
Kandanakolli PDC,571201
Kottur PDC,571201
Devanur PDC,571219
Kottageri PDC,571219
Chettimani PDC,571247
Mayamudi PDC,571213
Hysodlur PDC,571249
T Shettigeri PDC,571249
Madalapura PDC,571232
Guddehosur PDC,571234
Manchalli PDC,571250
Aigoor PDC,571251
Surlabi PDC,571251
Nelji PDC,571214
Yemmemadu PDC,571214
Balliamandur PDC,571216
Gopalapura PDC,571235
Nandigunda PDC,571235
Nidtha PDC,571235
Maldare PDC,571253
Shanthalli PDC,571236
Thakeri PDC,571236
Thannirahalla PDC,571236
Haradur PDC,571237
Uluguli PDC,571237
Maroor PDC,571254
Bittangala PDC,571218
Devanageri PDC,571218
Kadanur PDC,571218
Kandangala PDC,571218
Kedamallur PDC,571218
Mythadi PDC,571218
Nalvathoklu PDC,571218
Hosahudya PDC,561207
Mittemari PDC,561207
Yallampalli PDC,561207
Devikunte PDC,561207
Gundlagurki PDC,562101
MANCHANABELE PDC,562101
Chandandur PDC,561208
Doddakurugodu PDC,561208
Melya PDC,561208
Beechaganahalli PDC,561209
Cholasettyhalli PDC,561209
Hampasandra PDC,561209
Hampasandra PDC,561210
Kurudi PDC,561210
Jarabandahalli PDC,561211
BHAKTHARAHALLI PDC,562102
HEMARALAHALLI PDC,562102
Keshavara PDC,562102
Venkatapura PDC,562102
Doddamarali PDC,562103
Kondenahalli PDC,562103
Naremaddepalli PDC,561212
Aruru PDC,562104
Hirenagavalli PDC,562104
Sadali PDC,562104
Somenahalli PDC,562104
Devaramallur PDC,562105
Dibburhalli PDC,562105
Alipura PDC,561213
Hulibele PDC,563114
Raghuttahalli PDC,563123
E  Thimmasandra PDC,563159
Polinayakanahalli PDC,563159
Kallahalli PDC,563125
Kencharlahalli PDC,563125
Mylandahalli PDC,563125
Muduvadi PDC,563126
Nayakarahalli PDC,563126
Nukkanahalli PDC,563126
THORADEVANDAHALLI PDC,563126
Velagalaburre PDC,563126
Karahalli PDC,563162
Soregowdanakote PDC,563162
Yelagondahalli PDC,563127
Byraganahalli PDC,563161
Hirekattigenahalli PDC,563128
Santhekallahalli PDC,563128
DONIMADAGU PDC,563129
Madderi PDC,563157
Begihosahalli PDC,563101
Hongenahalli PDC,563130
Settikothanur PDC,563130
Vokkaleri PDC,563130
Hassandahalli PDC,563139
Gokunte PDC,563131
Hebbani PDC,563131
Kappalamadagu PDC,563131
Kagathi PDC,563146
Nandiganahalli PDC,563146
Alangur PDC,563132
Gudipalli PDC,563132
Padmaghatta PDC,563132
Doddachinnahalli PDC,563120
Jakkarasanakuppa PDC,563121
Kamadenahalli PDC,563103
Mallanayakanahalli PDC,563136
Mothakapalli PDC,563136
Kondasettihalli PDC,563137
Nutuve PDC,563137
Thoralakki PDC,563137
Devalapalli PDC,563138
Hanakere PDC,571404
Ummadahalli PDC,571404
Benahatti PDC,571416
Kaggalipura PDC,571417
Belathur PDC,571419
Hosakere PDC,571419
Shivaraguda Vidya Peeta PDC,571419
Chikkarasinakere PDC,571422
Karadakere PDC,571422
Kyathaghatta PDC,571422
Yadaganahalli PDC,571422
Cheeranahalli PDC,571403
Agasanapura PDC,571475
Dhangur PDC,571475
Lingapatna PDC,571421
Chikkaballi PDC,571446
Hallegere PDC,571446
K Gowdagere PDC,571446
Bekkalale PDC,571425
Nidaghatta PDC,571430
Buhalli PDC,571463
Chamanahalli PDC,571429
Desihalli PDC,571429
Hemmanahalli PDC,571429
Hosur mandya PDC,571402
Bevkal PDC,571405
Dudda mandya PDC,571405
Madechakanahalli PDC,571405
Alenahalli PDC,571605
Hariharapura PDC,571605
Gondenahalli PDC,571448
Hulikere PDC,571448
Kadabahalli PDC,571448
Bilagunda PDC,571418
Doddajataka PDC,571418
Honnenahalli PDC,571418
Honnavara PDC,571802
Kambadahalli PDC,571802
Ballenahalli PDC,571812
Kasad PDC,392020
Pansar PDC,393040
Samarpada PDC,393040
Mokhdi PDC,393125
Digas PDC,393030
Raima PDC,393030
Vaghvan PDC,393030
Valner PDC,393030
Mangrol PDC,392230
Asarma PDC,394810
Obha PDC,394810
Parvat PDC,394810
Sisodra PDC,394810
Magnad PDC,392150
Nobar PDC,392150
Vehelam PDC,392150
Vavli PDC,392150
Navagam Borjai PDC,393110
Padal PDC,393110
Siyali PDC,393110
Kurla PDC,392160
Vansi PDC,392160
Nahar PDC,392170
Runad PDC,392170
Sigam PDC,392170
Mithivav PDC,393151
Pantalavdi PDC,393151
Suka PDC,393151
Undava PDC,393151
Malpur PDC,392155
Vadadla PDC,392155
Amleshwar PDC,392160
Hingalla PDC,392210
Jhangar PDC,392210
Anjoli PDC,393130
Atkhol PDC,393130
Kavachia PDC,393130
Mota Jambuda PDC,393130
Thava PDC,393130
Andada PDC,393010
Samor PDC,393010
Limdi PDC,392165
Paniadra PDC,392165
Matroj PDC,392220
Mesrad PDC,392220
Simalia PDC,392220
Simartha PDC,392220
Kharod PDC,394115
Pardi Idris PDC,394115
Amletha PDC,393140
Kandroj PDC,393140
Mota Sorva PDC,393115
Hajarpura PDC,393145
Jesalpore PDC,393145
Poicha PDC,393145
Rundh PDC,393145
Sisodra PDC,393145
Thali PDC,393145
Kuilivel PDC,393050
Mahunipada PDC,393050
Moti Devrupan PDC,393050
Vajpur PDC,393050
Piludra PDC,393020
Anor PDC,392025
Ghamnad PDC,392025
Ambagam PDC,393025
Langdi PDC,393025
Mangleshwar PDC,392030
Islampur PDC,392040
Madafar PDC,392040
Panetha PDC,393120
Sanjali PDC,393120
Gandhar PDC,392140
Kothia PDC,392140
Bharadia PDC,393135
Dolatpur PDC,393135
Kara PDC,393135
Luna PDC,393135
Undhela PDC,387510
Ravdavat PDC,387610
Ukardina Muvada PDC,387610
Badarpur PDC,387635
Chhipial PDC,387635
Arera PDC,387320
Degam PDC,387320
Jaravat PDC,387110
Sankhej PDC,387120
Danadra PDC,387620
Kalaji PDC,387620
Navagam PDC,387620
Sunda PDC,387620
Vaghas PDC,387620
Chapatiya PDC,387620
Bhatera PDC,387630
Dana PDC,387630
Ghoghawada PDC,387630
Minavada PDC,387630
Porda Bhatera PDC,387630
Vadol PDC,387640
Amrapura PDC,387130
Bavra PDC,387130
Kachchhai PDC,387130
Mankwa PDC,387130
Karoli PDC,387335
Vadthal PDC,387335
Asamli PDC,387530
Khada PDC,387530
Sayla PDC,387530
Dharoda PDC,387540
Bamroli PDC,387350
Davda PDC,387350
Chandana PDC,387560
Rasikpura PDC,387560
Varsang PDC,387560
Vasna Buzarg PDC,387560
Navagam PDC,387710
Bharkunda PDC,387430
Kesara PDC,387430
Vansol Sundha PDC,387430
Khadol PDC,387365
Chuva PDC,388140
Vadgam PDC,388625
Rohini PDC,388625
Dahevan PDC,388550
Malu PDC,388620
Rangpur PDC,388620
Ghunteli PDC,388440
Heranj PDC,387330
Bhavanipura PDC,388450
Mariampura PDC,388450
Piplata PDC,387355
Kasor PDC,388460
Kalitalavadi PDC,388170
Virol (simarda BO) PDC,388480
Jichka PDC,388180
Mahiyari PDC,388180
Milarampura PDC,388180
Mitli PDC,388180
Padra PDC,388180
Pariej PDC,388180
Sansej PDC,388180
Kalamsar PDC,388640
Vatra PDC,388640
Finav PDC,388580
Nandarkha PDC,396325
Sadakpore PDC,396521
Chapaldhara PDC,396570
Ranverikhurd PDC,396570
Kaliari PDC,396540
Khambhda PDC,396540
Sarvani PDC,396540
Achhavani PDC,396040
Chari PDC,396040
Jamanpada PDC,396040
Ranverikalla PDC,396560
Saraiya PDC,396560
Vaghabari PDC,396560
Pratap Nagar PDC,396560
Mogravadi PDC,396060
Ambapani PDC,396580
Charanwada PDC,396580
Dubalfalia PDC,396580
Gangpur PDC,396580
Ghodmal PDC,396580
Kandha PDC,396580
Raibor PDC,396580
Dhamdachha PDC,396310
Mohanpur PDC,396310
Kolva PDC,396350
ManekporeGadat PDC,396350
Salej PDC,396350
Vegam PDC,396350
Ajrai PDC,396360
PatiGandevi PDC,396360
Amli Kasba PDC,396427
Manekpore Tankoli PDC,396427
Sarpore Pardi PDC,396433
Gandeva PDC,396430
Khaparia PDC,396430
Bhinar PDC,396436
Delvada Vadoli PDC,396436
Krishnapur PDC,396460
Nagdhara PDC,396466
Italva PDC,396463
Kurel PDC,396469
Sandalpore PDC,396475
Antela PDC,389380
Bamroli PDC,389380
Bara PDC,389380
Damavav PDC,389380
Gollav PDC,389380
Khandania PDC,389380
Nakti PDC,389380
Saniada PDC,389380
Udhavala PDC,389380
Vadbhet PDC,389380
Zab PDC,389380
Bhorva PDC,389382
Dumka PDC,389382
Pipero PDC,389382
Tokarva PDC,389382
Ved PDC,389382
Zabu PDC,389382
Padalia PDC,389146
Zerjitagadh PDC,389146
Jambua PDC,389155
Zari Buzarg PDC,389155
Kaliavad PDC,389152
Vejelav PDC,389152
Kadval PDC,389170
Kharsana PDC,389170
Munkhosla PDC,389170
Ankalia PDC,389250
Bachkaria PDC,389250
Motirath PDC,389250
Agavada PDC,389154
Jalat PDC,389154
Khangela PDC,389154
Amba PDC,389180
Chakalia PDC,389180
Dantia PDC,389180
Pethapur PDC,389180
Raniyar Kanbi PDC,389180
Sutharvansa PDC,389180
Dhadhela PDC,389140
Jada Kheria PDC,389140
Kelamul PDC,389265
Nani Kharsoli PDC,389265
MotirelW PDC,389110
Umber PDC,389110
Vankadi PDC,389110
Aasayadi PDC,389130
Dasa PDC,389130
Methan PDC,389175
Hirapur PDC,389260
Sant PDC,389260
Timbla PDC,389260
Nani Bhugedi PDC,389190
Sagdapada PDC,389190
Vansia Kui PDC,389190
Bhilod PDC,389341
Chalali PDC,389341
Sajora PDC,389341
Sherpura PDC,389341
Vavkulli PDC,389341
Pandaravada PDC,389232
Davadra PDC,389365
Gamani PDC,389365
Kharkhadi PDC,389365
Kharod PDC,389365
Mol PDC,389365
Rayan Muvada PDC,389365
Ambali PDC,389002
Mithali PDC,389002
Vadi PDC,389002
Dhanitra PDC,389002
Tarkhanda PDC,389350
Varsda PDC,389350
Hirapur PDC,389390
Narukot PDC,389390
Uchet PDC,389390
Manipur C PDC,388713
Boru Bakorl PDC,389330
Kharol PDC,389220
Gangta PDC,389230
Kakachiya PDC,389230
Moti Sarsan PDC,389230
Mudavadekh PDC,389230
Nasikpur PDC,389230
Rambhem Na Muvada PDC,389230
Rampatel Na Muvada PDC,389230
Viraniya PDC,389230
Agarwada PDC,389115
Rajayata PDC,389115
Rampur Kasanpur PDC,389115
Bhamaria PDC,389360
Chandranagar PDC,389360
Dhankuva PDC,389360
Jepura PDC,389360
Navakuwa PDC,389360
Ranjitnagar PDC,389360
Zankharia PDC,389360
Bakkhar PDC,389120
Bodidra Buzarg PDC,389120
Erandi PDC,389120
Mirap PDC,389120
Nada PDC,389120
Natapur PDC,389120
Vaghjipur PDC,389120
Aniyad PDC,389210
Bodidra Khurd PDC,389210
Khojalvasa PDC,389210
Tadva PDC,389210
Palikhanda PDC,389370
Vaghbod PDC,389370
Nadisar PDC,388710
Bhalada PDC,388270
Ucharpi PDC,388270
Mehlol PDC,389340
Vyasda PDC,389340
Dumasgam PDC,394550
Jinod PDC,394530
Damka PDC,394517
Bhatlai PDC,394517
Asnad PDC,394540
Erthan PDC,394540
Masma PDC,394540
Orma PDC,394540
Vadod PDC,394540
Ambheta PDC,395005
Bhandut PDC,395005
Dihen PDC,395005
Kosam PDC,394520
Mahuvej PDC,394125
Nandav PDC,394125
Dabholi PDC,395004
Anita PDC,394110
Borsad PDC,394112
Dharampur PDC,394112
Kharach PDC,394120
Panjroli PDC,394120
Harsani PDC,394421
Gijram PDC,394410
Bharundi PDC,394130
Madhar PDC,394130
Syadla PDC,394130
Bamroli PDC,394210
Budia PDC,394210
Khota Rampura PDC,394445
Sarvan Fokdi PDC,394445
Umargot PDC,394445
Ambawadi PDC,394430
Kosmada PDC,395013
Sania Hemad PDC,395013
Asarma PDC,394405
Kosadi PDC,394405
Umarzar PDC,394440
Vad PDC,394440
Vahar PDC,394440
Godadara PDC,395012
Bamroli PDC,391125
Chhuchhapura PDC,391125
Tandalja PDC,391135
Vanta PDC,391135
Nanderia PDC,391105
Simli PDC,391105
Dhandhoda PDC,391165
Dholi Simal PDC,391165
Surkheda PDC,391165
Kukad PDC,391110
Alwa PDC,391150
Bhadarwa PDC,391120
Kantharpura PDC,391120
Bhaka PDC,391152
Dani PDC,391152
Jamli PDC,391152
Nalvant PDC,391152
Palasani PDC,391152
Sengpur PDC,391152
Sodhaliya PDC,391152
Motibumadi PDC,391135
Sukal PDC,391160
Pipaldi PDC,391170
Thadgam PDC,391170
KADIPANI PDC,391170
Kalidoli PDC,391140
Akona PDC,391150
Baroli PDC,391150
Bharvada PDC,391150
Dhamasiya PDC,391150
Dharsimel PDC,391150
Goyawant PDC,391150
Jakshi PDC,391150
Kaledia PDC,391150
Kaliyapura PDC,391150
Khapariya PDC,391150
Sindhikuva PDC,391150
Karanjwant PDC,391168
Motaghoda PDC,391168
Sinhada PDC,391168
Bhikhapur PDC,391160
Bhilpur PDC,391156
Kikavada PDC,391160
Muvada PDC,391160
Achisara PDC,391250
Kukas PDC,391250
Malpur PDC,391250
Manjrol PDC,391250
Utraj PDC,391250
Bortalav PDC,391145
Picchuwada PDC,391145
Rampura PDC,391145
Vasan Sevada PDC,391145
Moria PDC,391120
Vajiria PDC,391120
Bakrol PDC,390019
Nimetha PDC,390019
Harni PDC,390022
Tarsali PDC,390009
Tandalja PDC,390012
Karodia PDC,391310
Natwar Nagar PDC,391780
Ajod PDC,391740
Sisva PDC,391740
Dajipura PDC,391774
Kadchhala PDC,391774
Motivarnoli PDC,391774
Varsada PDC,391774
Ghantiyal PDC,391510
Sadra PDC,391510
Vyankatpura PDC,391510
Dhavat PDC,391210
Chokari PDC,391450
Jiyatalavdi PDC,391220
Patarveni PDC,391220
Angadh PDC,391330
Gosindra PDC,391240
Kambola PDC,391240
Sambhoi PDC,391240
Sokhdaradhu PDC,391240
Dabka PDC,391440
Goriyad PDC,391440
Sandha PDC,391440
Dhanora PDC,391350
Ramnath PDC,391243
Padmala PDC,391350
Rajupura PDC,391445
Kuvarpura PDC,391761
Valva PDC,391761
Pasva PDC,391520
Latwa PDC,391530
Narpura PDC,391530
Vasia PDC,391530
Muval PDC,391770
Poicha PDC,391770
Pilol PDC,391745
Namisara PDC,391775
Ambali PDC,391760
Vesania PDC,391760
Bhavthan Ambosi PDC,396051
Lakadbari PDC,396051
Manaichondi PDC,396051
Murdad PDC,396051
Virval PDC,396051
Pitha PDC,396045
Dived PDC,396020
Magod Dungri PDC,396020
Meh PDC,396020
Dehli PDC,396105
Karambeli RS PDC,396105
Zaroli PDC,396105
Karvad PDC,396193
Moti Tambadi PDC,396193
Kunta PDC,396215
Bhimpore PDC,396210
Dunetha PDC,396210
Kadaiya PDC,396210
Varkund PDC,396210
Barsol PDC,396050
Moti Korvad PDC,396050
Gorgam PDC,396375
Jespore PDC,396375
Kundi PDC,396375
Shankar Talav PDC,396375
Sonwada PDC,396375
Vaghaldhara PDC,396375
Lilapore PDC,396030
Chinchpada PDC,396240
Rakholi PDC,396240
Pachlai PDC,396125
Deli PDC,396126
Dhodhadkuva PDC,396126
Jogvel PDC,396126
Burla PDC,396067
Chepa PDC,396067
Divsi PDC,396067
Jirval PDC,396067
Kakadkuva PDC,396065
Moti Vahiyal PDC,396065
Ozarda PDC,396067
Shildha PDC,396067
Vadoli PDC,396067
Varvath PDC,396067
Athal PDC,396235
Kachigam PDC,396235
Ambach Paria PDC,396145
Barai PDC,396145
Bodlai PDC,396055
Kamparia PDC,396055
Navera PDC,396055
Tembhi PDC,396150
Amboli PDC,396230
Mota Randha PDC,396230
Rudana PDC,396230
Velugam PDC,396230
Kalsar PDC,396185
Palsana Pardi PDC,396185
Tukwada PDC,396185
Bhagal PDC,396385
Surwada PDC,396030
Velvach PDC,396007
Chhiri PDC,396191
Morai PDC,396191
Namdha PDC,396191
NANDGAM PDC,396065
Ballana PDC,134008
Chaurmastpur PDC,134008
Dhankaur PDC,134007
Jalbera PDC,134008
Kot PDC,134118
Raiwali PDC,134118
Rattewali PDC,134118
Patwi PDC,134201
Kharanwali PDC,133302
Ambli PDC,134203
Gadhauli PDC,134203
Lalpur PDC,134203
Panjlasa PDC,134203
Devi Nagar PDC,134109
Damaloan PDC,134102
Baladwala PDC,134204
Korwakhurd PDC,134202
Kaserla Kalan PDC,133205
Kalarehri PDC,133010
Alipur Jahangir PDC,133202
Dukheri PDC,133004
Durana PDC,133008
Shah Pur PDC,133004
Sohana PDC,133203
Mehmoodpur PDC,133104
Kalesar PDC,135106
Pipli Majra PDC,135106
Basatianwala PDC,135102
Kopal Mochan PDC,135102
Machrauli PDC,135102
Fatehpur PDC,135101
Kot Kalsia PDC,135103
Lalheri Kalan PDC,135103
Ledi PDC,135103
Bherthal PDC,135003
Damla PDC,135002
Harnaul PDC,135002
Jagdholi PDC,133103
Kandhari Kalan PDC,133103
Talakaur PDC,133103
Uncha Chandna PDC,133103
Mehmoodpur PDC,133204
Noshera PDC,133204
Sadiqpur PDC,133204
Sardaheri PDC,133206
Sherpur Sulkhani PDC,133206
Bigowa PDC,127307
Jhijhar PDC,127307
Arya Nagar PDC,127308
Badrai PDC,127312
Chandwas PDC,127308
Jewali PDC,127308
Lad PDC,127308
Biran PDC,127111
Dhirana PDC,127311
Haluwas PDC,127311
Baliali PDC,127032
Matani PDC,127028
Morka PDC,127028
Noonsar PDC,127028
Tiwala PDC,127026
Imlota PDC,127306
Mankawas PDC,127306
Paitawas Kalan PDC,127306
Pichopa Kalan PDC,127310
Dhabdhani PDC,127030
Golpura PDC,127030
Barwas PDC,127201
Nakipur PDC,127201
Singhani PDC,127201
Sohansara PDC,127201
Siwana PDC,127041
Jhully PDC,127043
Mandhan PDC,127043
Gurera PDC,127046
Kalod PDC,127046
DHULKOT PDC,127046
Dadam PDC,127040
Kharkhari Sohan PDC,127040
Riwasa PDC,127040
Sagban PDC,127040
Tilpat PDC,121003
Dighot PDC,121105
Pingore PDC,121105
Baroli PDC,121004
Dayalpur PDC,121004
Banchari PDC,121106
Aharwan PDC,121102
Asaota PDC,121102
Chant PDC,121102
Jaindapur PDC,121102
Sihol PDC,121102
Salheona PDC,496554
Kolam PDC,496107
Libra PDC,496107
Urba PDC,496107
Kandaibahar PDC,496227
Kersai PDC,496227
Lathbora PDC,496227
Singibahar PDC,496227
Chandi Bazar PDC,493661
Kurru PDC,493661
Parsada PDC,493661
Seoni PDC,493661
Tekari PDC,493661
Bhansoj PDC,493441
Ganod PDC,493441
Bakma PDC,493449
Bhadrasi PDC,493449
Khusrupali PDC,493449
Koma PDC,493449
Shikaripali PDC,493449
Sohagpur PDC,493449
Junwani Khurd PDC,493449
Chhataud PDC,493116
Silyari PDC,493116
Khainda PDC,493332
Pangaon PDC,493332
Bansula PDC,493554
Doma PDC,493770
Amlidih PDC,493770
Bitkuli PDC,493118
Datrengi PDC,493118
Karhi Bazar PDC,493118
Kodwa PDC,493118
Sikari Kesli PDC,493118
Pauni PDC,493338
Dharsiwa PDC,493221
Khadma PDC,493996
Kosmi PDC,493996
Madeli PDC,493996
Paktia PDC,493996
Patseoni PDC,493996
Parsada khurd PDC,493996
Girsul PDC,493890
Jhakharpara PDC,493890
Latapara PDC,493890
Tikrapara PDC,493890
Mudagaon PDC,493890
Bazar Kurridih PDC,493773
Chanagaon PDC,493773
Jhuratarai PDC,493773
Potiadih PDC,493773
Munaikera PDC,493773
Jabarra PDC,493773
Sonjhari PDC,493773
Bhandarwadi PDC,493773
Kekra Kholi PDC,493773
Bindranawagarh PDC,493889
Kochwai PDC,493889
Ruwad PDC,493889
Kamarbhaundi PDC,493889
Hathbay PDC,493889
Rawandigi PDC,493889
Amlipadar PDC,493891
Sargiguda PDC,493891
Urmal PDC,493891
Kuhimal PDC,493891
Bhainsa PDC,493113
Arangi PDC,493555
Bamhani PDC,493555
Hatodbazar PDC,493335
Pisid PDC,493335
Bareli PDC,493344
Girod PDC,493344
Amodi PDC,493225
Bhandarpuri PDC,493225
Khauli PDC,493225
Korasi PDC,493225
Mohra PDC,493225
Barna PDC,493663
Chhati PDC,493663
Gatapar PDC,493663
Chorbhatti PDC,493663
Gudguda PDC,493663
Marda PDC,493526
Bemcha PDC,493445
Jalki PDC,493445
Mohandi PDC,493445
Dhawalpur PDC,493888
Indagaon PDC,493888
Sikaser PDC,493888
Nagesh PDC,493888
Deopuri PDC,492015
Barbanda PDC,493111
Bahigaon PDC,493778
Podagaon PDC,493778
Semra PDC,493778
Sondur Project PDC,493778
Khallari PDC,493778
Sirsida PDC,493778
Tilda RS PDC,493114
Datan PDC,493228
Kusmi PDC,493228
Putpura PDC,493228
Atarmara PDC,492109
Tourenga PDC,492109
Baruka PDC,492109
Basin PDC,493992
Sorid PDC,493992
Ghonch PDC,493551
Chhindauli PDC,493551
Jogidipa PDC,493551
Chirko PDC,493551
Champaran PDC,493885
Kareli PDC,493885
Nawagaon PDC,493885
Sursabandha PDC,493885
Maldi PDC,493331
RSPColony Gangrel PDC,493776
Chandan PDC,492112
Raja Deori PDC,492112
Nawagaon PDC,492112
Sonakhan PDC,492112
Thargaon PDC,492112
Amarkot PDC,493558
Jamhari PDC,493558
Lambar PDC,493558
Putka PDC,493558
Lamkeni PDC,493558
Kusmur PDC,493558
Bartiyabhatha PDC,493558
Kosamkunda PDC,493559
Raipura PDC,492013
Charoda PDC,493229
Odan PDC,493229
Salhebhata PDC,493448
Hathibahra PDC,493448
Khajoori Khas PDC,110090
Sabhapur PDC,110090
Hiranki PDC,110036
Jat Khore PDC,110039
Nangal Thakran PDC,110039
Chand Pur PDC,110081
Mubarak Pur Dabas PDC,110081
Punjab Khor PDC,110081
Lampur PDC,110040
Rampura PDC,110035
Budh Vihar PDC,110086
Madanpur Khadar PDC,110076
BHATI VILLAGE PDC,110074
Mahipalpur PDC,110037
Nangal Dewat PDC,110037
Gadaipur PDC,110030
Khaira PDC,110043
Dindarpur PDC,110043
Surehra PDC,110043
Tilangpur Kotla PDC,110043
Dabri PDC,110045
Galib Pur PDC,110073
Nilothi PDC,110041
Tikri Kalan PDC,110041
Chaukhandi PDC,110018
Hastal Village PDC,110059
Bakrol PDC,382210
Kubadthal PDC,382430
Kujad PDC,382430
Pardhol PDC,382330
Girmatha PDC,382425
Vasai PDC,382425
Geratpur PDC,382435
Sagrosana PDC,385001
Hasanpur PDC,385001
Jalotra PDC,385001
Sangra PDC,385001
Karjoda PDC,385001
Dhagadia PDC,385110
Chatra PDC,385320
Garambadi PDC,385320
Jasanwada PDC,385320
Soneth PDC,385320
Tanvad PDC,385320
Sanesada PDC,385320
Bhakhar moti PDC,385510
Manpura PDC,385210
Teniwada PDC,385210
Bhakhari PDC,385120
Dhanali PDC,385120
Gorad PDC,385120
Mankadi PDC,385120
Moria N PDC,385120
Vasi PDC,385120
Odhava PDC,385505
